Developer,Repo Name,Number of Stars
openmainframeproject,cobol-programming-course,872
utmapp,UTM,"4,069"
TheLartians,ModernCppStarter,465
hollischuang,toBeTopJavaer,"12,659"
carlospolop,privilege-escalation-awesome-scripts-suite,"1,222"
elsewhencode,project-guidelines,"20,632"
google,automl,"1,994"
evanw,esbuild,"5,111"
sdmg15,Best-websites-a-programmer-should-visit,"30,564"
shengqiangzhang,examples-of-web-crawlers,"7,661"
Fugiman,google-meet-grid-view,167
lydiahallie,javascript-questions,"17,896"
gerryguy311,CyberProfDevelopmentCovidResources,134
k-sys,covid-19,500
osresearch,airbreak,132
Code-Pop,real-world-vue,642
florinpop17,app-ideas,"17,315"
tensorflow,tensorflow,"143,266"
labuladong,fucking-algorithm,"30,077"
chinese-poetry,chinese-poetry,"28,320"
keycloak,keycloak,"5,892"
ionic-team,ionic,"40,745"
wenjianzhang,go-admin,675
ianramzy,decentralized-video-chat,"1,642"
microsoft,vscode,"94,617"
